"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-03-15 ~ 2025-04-14"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"28","인천광역시 미추홀구 도화동","677-37","0677","0037","영풍빌라(677-37)","39.1800","21.7580","202504","14","4,700","4","개인","개인","1993","동산로2번길 5-38","-","중개거래","인천 미추홀구, 인천 서구","25.04.14"
"29","충청북도 청주시 흥덕구 비하동","673-10","0673","0010","우진비이동","45.5700","34.5900","202504","14","7,000","3","개인","개인","1990","청향로5번길 18","-","중개거래","충북 청주시 흥덕구","-"
"30","전라남도 광양시 광양읍 구산리","788-10","0788","0010","자연애7차","70.1823","57.7483","202504","14","26,000","3","개인","개인","2022","서평5길 30","-","중개거래","전남 광양시","25.04.15"
"31","대전광역시 중구 옥계동","23-3","0023","0003","아름빌라","44.7180","31.1600","202504","14","5,300","3","개인","개인","1995","모암로13번길 52-1","-","중개거래","대전 동구","-"
"32","인천광역시 동구 송림동","54-34","0054","0034","현대빌라(가동)","39.6000","22.0700","202504","14","19,500","2","개인","개인","1993","안송로39번길 3","-","중개거래","서울 은평구","-"
"33","경기도 평택시 오성면 죽리","75-5","0075","0005","대영홈타운(203동)","75.3700","77.1250","202504","14","11,900","3","개인","개인","2011","죽5리길 17","-","중개거래","경기 평택시","-"
"34","충청남도 아산시 탕정면 매곡리","649-3","0649","0003","청솔","37.1000","78.6600","202504","14","3,800","4","법인","개인","2005","매곡로71번길 5","-","직거래","-","25.04.24"
"35","경기도 평택시 서정동","792-1","0792","0001","두방빌라5차","42.6000","27.6500","202504","14","2,100","-1","개인","개인","1991","특구로43번길 68","-","직거래","-","25.05.02"
"36","경기도 평택시 고덕면 해창리","268-2","0268","0002","한라빌라","34.6850","39.4375","202504","14","6,100","4","개인","개인","1998","고덕로 57","-","직거래","-","25.04.28"
"37","경기도 평택시 신장동","603-28","0603","0028","DesignHous2","82.9000","51.0706","202504","14","16,000","4","개인","개인","2012","남산로65번길 59","-","중개거래","경기 평택시","25.04.29"
"38","인천광역시 미추홀구 용현동","624-86","0624","0086","동진빌라","39.8400","21.3900","202504","14","5,800","1","개인","개인","1994","낙섬서로 67","-","중개거래","인천 미추홀구","25.04.17"
"39","인천광역시 미추홀구 용현동","454-477","0454","0477","설악파크빌라12동","32.5800","15.3600","202504","14","4,000","-1","개인","개인","1992","독정안길 13-5","-","직거래","-","-"
"40","서울특별시 은평구 응암동","675-6","0675","0006","(675-6)","75.1400","54.4000","202504","14","13,000","1","개인","개인","1984","가좌로6길 4-1","-","직거래","-","25.04.15"
"41","인천광역시 미추홀구 숭의동","2-175","0002","0175","정다운빌1동","54.4069","27.7500","202504","14","15,000","4","개인","개인","2016","수봉안길57번길 30","-","직거래","-","25.04.14"
