"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-05-11 ~ 2025-05-10"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"35","서울특별시 중구 신당동","2**","단독","8m미만","49.59","83.00","202504","24","38,500","개인","개인","1955","청구로6길","-","직거래","-"
"36","서울특별시 관악구 신림동","1***","다가구","8m미만","321.88","150.10","202504","24","133,753","공공기관","개인","1993","난곡로57길","-","직거래","-"
"37","서울특별시 구로구 구로동","7**","다가구","8m미만","119.67","73.00","202504","24","42,000","개인","개인","1996","구로동로13길","-","중개거래","서울 구로구"
"38","서울특별시 광진구 능동","2**","단독","8m미만","219.85","140.80","202504","24","100,500","개인","개인","1989","능동로34길","-","중개거래","서울 광진구"
"39","서울특별시 관악구 신림동","9*","다가구","12m미만","298.94","172.00","202504","23","174,912","공공기관","개인","1993","복은길","-","직거래","-"
"40","서울특별시 종로구 충신동","7*","단독","8m미만","372.72","154.70","202504","23","200,000","개인","개인","1974","율곡로","-","중개거래","서울 종로구"
"41","서울특별시 동작구 본동","4**","단독","8m미만","187.40","80.00","202504","23","210,628","기타","개인","1992","노량진로22길","-","직거래","-"
"42","서울특별시 동작구 본동","1**","단독","8m미만","38.28","102.00","202504","23","260,000","기타","개인","1961","노량진로22길","-","직거래","-"
"43","서울특별시 관악구 신림동","2**","단독","8m미만","251.10","145.00","202504","23","113,573","공공기관","개인","1996","신림로17길","-","직거래","-"
"44","서울특별시 관악구 신림동","1***","단독","8m미만","121.66","95.40","202504","22","50,000","개인","개인","1990","문성로25길","-","중개거래","서울 관악구"
"45","서울특별시 강북구 수유동","4**","단독","8m미만","84.91","81.00","202504","22","29,000","개인","개인","2000","인수봉로23길","-","중개거래","서울 중구"
"46","서울특별시 동대문구 전농동","2**","다가구","8m미만","141.94","86.00","202504","22","88,000","개인","개인","1993","전농로29길","-","중개거래","서울 동대문구"
"47","서울특별시 동작구 노량진동","2**","다가구","8m미만","193.03","132.00","202504","22","240,000","개인","개인","1992","장승배기로27길","-","중개거래","서울 동작구"
"48","서울특별시 영등포구 신길동","1**","단독","8m미만","13.92","20.00","202504","22","67,000","개인","개인","1985","도신로51길","-","중개거래","서울 영등포구"
"49","서울특별시 구로구 개봉동","2**","단독","12m미만","214.70","148.80","202504","21","129,000","법인","개인","2003","개봉로2길","-","중개거래","서울 구로구"
"50","서울특별시 중구 신당동","3**","단독","8m미만","173.44","95.00","202504","21","201,000","법인","개인","1993","동호로","-","중개거래","서울 강남구"
"51","서울특별시 중구 신당동","1**","단독","8m미만","164.77","85.60","202504","21","164,000","법인","개인","1967","다산로42길","-","중개거래","서울 강남구"
"52","서울특별시 노원구 공릉동","3**","단독","8m미만","175.93","162.90","202504","21","88,000","개인","개인","1982","동일로190길","-","중개거래","서울 노원구"
"53","서울특별시 종로구 충신동","1*","단독","8m미만","16.53","27.10","202504","21","19,800","개인","개인","1961","충신2길","-","중개거래","서울 용산구"
"54","서울특별시 용산구 서빙고동","2**","다가구","8m미만","177.89","122.00","202504","21","228,000","법인","개인","1989","녹사평대로11가길","-","중개거래","서울 용산구"
"55","서울특별시 용산구 한강로3가","6*","단독","8m미만","30.11","79.30","202504","21","180,000","개인","법인","1959","한강대로14가길","-","중개거래","서울 용산구"
"56","서울특별시 관악구 봉천동","6**","단독","8m미만","140.53","142.00","202504","21","57,000","개인","개인","1973","봉천로17가길","-","직거래","-"
"57","서울특별시 동작구 본동","2**","단독","12m미만","51.90","26.00","202504","21","54,000","기타","개인","1971","노량진로18길","-","직거래","-"
"58","서울특별시 영등포구 신길동","8*","단독","8m미만","158.31","132.00","202504","21","110,000","개인","개인","1990","여의대방로53나길","-","중개거래","서울 영등포구"
"59","서울특별시 동작구 본동","4**","단독","12m미만","299.96","139.00","202504","21","379,050","기타","개인","1984","노량진로18길","-","직거래","-"
"60","서울특별시 성동구 성수동1가","6**","다가구","8m미만","275.00","129.00","202504","21","342,000","개인","개인","1993","왕십리로4길","-","중개거래","서울 서대문구"
"61","서울특별시 관악구 신림동","1***","단독","8m미만","241.02","162.10","202504","21","138,505","공공기관","개인","1988","신원로1길","-","직거래","-"
"62","서울특별시 관악구 신림동","5**","단독","8m미만","185.85","124.30","202504","21","105,000","개인","개인","1989","난곡로66길","-","중개거래","서울 관악구"
"63","서울특별시 서대문구 홍제동","3**","단독","8m미만","81.62","141.00","202504","21","66,000","개인","개인","1971","통일로39길","-","중개거래","서울 서대문구"
"64","서울특별시 금천구 시흥동","2**","다가구","8m미만","171.30","116.00","202504","21","50,000","개인","개인","1996","탑골로4길","-","중개거래","서울 금천구"
"65","서울특별시 동작구 노량진동","2**","단독","8m미만","187.98","112.00","202504","20","200,000","개인","개인","1992","노량진로8나길","-","중개거래","서울 동작구, 서울 성동구"
"66","서울특별시 성동구 성수동2가","2**","다가구","12m미만","329.76","219.00","202504","19","403,000","개인","개인","1991","둘레21길","-","중개거래","서울 성동구"
